iter	Passed	Remaining
401	9220	2178
402	9235	2154
403	9252	2130
404	9266	2105
405	9282	2080
406	9298	2056
407	9313	2031
408	9330	2007
409	9345	1983
410	9361	1958
411	9375	1934
412	9392	1910
413	9408	1886
414	9424	1862
415	9439	1838
416	9456	1814
417	9473	1790
418	9489	1766
419	9504	1742
420	9522	1719
421	9537	1695
422	9552	1671
423	9568	1647
424	9584	1623
425	9598	1599
426	9617	1576
427	9632	1552
428	9648	1529
429	9664	1505
430	9680	1482
431	9694	1458
432	9708	1434
433	9722	1411
434	9735	1387
435	9748	1363
436	9766	1340
437	9779	1317
438	9785	1292
439	9798	1269
440	9810	1245
441	9821	1222
442	9833	1198
443	9845	1175
444	9855	1151
445	9867	1128
446	9877	1104
447	9888	1081
448	9899	1058
449	9912	1035
450	9923	1012
451	9933	988
452	9944	965
453	9955	942
454	9966	919
455	9976	897
456	9989	874
457	10000	851
458	10010	828
459	10020	806
460	10031	783
461	10040	760
462	10050	738
463	10059	715
464	10069	692
465	10078	670
466	10088	648
467	10098	625
468	10108	603
469	10118	581
470	10128	559
471	10137	536
472	10147	514
473	10156	492
474	10166	470
475	10176	448
476	10186	427
477	10195	405
478	10205	383
479	10215	361
480	10224	340
481	10233	318
482	10243	296
483	10252	275
484	10261	253
485	10270	232
486	10279	211
487	10288	189
488	10297	168
489	10305	147
490	10315	126
491	10324	104
492	10332	83
493	10341	62
494	10350	41
495	10359	20
496	10368	0
92	11310	91
493	11322	68
494	11336	45
495	11349	22
496	11367	0
92	11857	96
493	11871	72
494	11885	48
495	11901	23
496	11916	0
9	190
490	13339	163
491	13354	135
492	13372	108
493	13388	81
494	13406	54
495	13426	27
496	13445	0
5	211
490	14815	181
491	14831	150
492	14850	120
493	14865	90
494	14885	60
495	14903	30
496	14920	0
28
494	21133	85
495	21160	42
496	21183	0
3
496	21775	0
700	45
496	22733	0
