feature,importance
atm_group,0.8887845433796236
long,0.050352969251452454
lat,0.02066244245626619
schools_nearby,0.008374490089685424
population,0.00692821132127613
supermarket_nearby,0.004211183758706489
mall_nearby,0.003923974038218518
restaurant_nearby,0.003307573924131864
cafe_nearby,0.0029827106448621194
post_office_nearby,0.002847919333617309
bar_nearby,0.0021610482416002234
university_nearby,0.0016523510741932733
atm_nearby,0.0016331434414199012
place_of_worship_nearby,0.0012385934487419896
nightclub_nearby,0.00047094409554004473
casino_nearby,0.0002053981056818395
cinema_nearby,0.00017176848800738817
police_nearby,9.073490697524304e-05
